date,day_of_week,pair,orb_time_gmt,orb_time_ist,entry_mode,rr_ratio,expected_wr,direction,orb_high,orb_low,orb_range_pips,break_time,entry_time,entry_price,sl_price,tp_price,risk_pips,result,pnl_pips,exit_time,exit_price,exit_reason
2025-10-22,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,LONG,1.33659,1.33536,12.3,2025-10-22 15:15:00,2025-10-22 15:20:00,1.33659,1.33516,1.34088,14.3,LOSS,-14.3,2025-10-22 23:45:00,1.3351600000000001,SL Hit
2025-10-23,Thursday,USDCAD,11:15,04:45 PM,15min,2.0,72.7,SHORT,1.39985,1.39957,2.8,2025-10-23 11:30:00,2025-10-23 11:45:00,1.39957,1.40005,1.39861,4.8,WIN,9.6,2025-10-23 13:30:00,1.39861,TP Hit
2025-10-27,Monday,USDCAD,15:45,09:15 PM,15min,3.0,61.5,SHORT,1.40018,1.39959,5.9,2025-10-27 16:45:00,2025-10-27 17:00:00,1.39959,1.40038,1.39722,7.9,WIN,4.5,2025-10-27 23:45:00,1.39914,EOD Close
2025-10-29,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,LONG,1.32335,1.3227,6.5,2025-10-29 15:30:00,2025-10-29 15:35:00,1.32335,1.3225,1.3259,8.5,LOSS,-8.5,2025-10-29 17:25:00,1.3225,SL Hit
2025-10-30,Thursday,GBPUSD,03:45,09:15 AM,15min,2.0,63.6,LONG,1.31991,1.31968,2.3,2025-10-30 03:55:00,2025-10-30 06:35:00,1.31991,1.31948,1.32077,4.3,WIN,8.6,2025-10-30 06:50:00,1.3207699999999998,TP Hit
2025-10-31,Friday,USDCAD,16:00,09:30 PM,15min,2.5,63.0,LONG,1.4018,1.40099,8.1,2025-10-31 17:00:00,2025-10-31 17:15:00,1.4018,1.40079,1.40432,10.1,LOSS,-10.1,2025-10-31 20:30:00,1.40079,SL Hit
2025-11-05,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,LONG,1.30312,1.30129,18.3,2025-11-05 15:15:00,2025-11-05 16:00:00,1.30312,1.30109,1.30921,20.3,WIN,20.3,2025-11-05 23:55:00,1.30515,EOD Close
2025-11-06,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,LONG,1.15206,1.1513,7.6,2025-11-06 12:00:00,2025-11-06 12:15:00,1.15206,1.1511,1.15398,9.6,WIN,19.2,2025-11-06 13:30:00,1.1539800000000002,TP Hit
2025-11-07,Friday,USDCAD,16:00,09:30 PM,15min,2.5,63.0,SHORT,1.40788,1.40723,6.5,2025-11-07 16:15:00,2025-11-07 16:30:00,1.40723,1.40808,1.4051,8.5,WIN,21.3,2025-11-07 18:00:00,1.4051049999999998,TP Hit
2025-11-10,Monday,USDCAD,15:45,09:15 PM,15min,3.0,61.5,LONG,1.40279,1.40239,4.0,2025-11-10 16:15:00,2025-11-10 16:30:00,1.40279,1.40219,1.40459,6.0,LOSS,-6.0,2025-11-10 17:30:00,1.40219,SL Hit
2025-11-13,Thursday,USDCAD,11:15,04:45 PM,15min,2.0,72.7,LONG,1.39954,1.39918,3.6,2025-11-13 11:45:00,2025-11-13 12:15:00,1.39954,1.39898,1.40066,5.6,WIN,11.2,2025-11-13 13:30:00,1.4006599999999998,TP Hit
2025-11-13,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,SHORT,1.162,1.16128,7.2,2025-11-13 11:45:00,2025-11-13 12:15:00,1.16128,1.1622,1.15944,9.2,LOSS,-9.2,2025-11-13 12:45:00,1.1622,SL Hit
2025-11-14,Friday,USDCAD,16:00,09:30 PM,15min,2.5,63.0,SHORT,1.40281,1.40177,10.4,2025-11-14 21:30:00,2025-11-14 21:45:00,1.40177,1.40301,1.39867,12.4,LOSS,-6.0,2025-11-14 21:45:00,1.40237,EOD Close
2025-11-17,Monday,USDCAD,15:45,09:15 PM,15min,3.0,61.5,LONG,1.40276,1.40239,3.7,2025-11-17 16:00:00,2025-11-17 16:15:00,1.40276,1.40219,1.40447,5.7,WIN,17.1,2025-11-17 19:30:00,1.4044699999999999,TP Hit
