date,day_of_week,pair,orb_time_gmt,orb_time_ist,entry_mode,rr_ratio,expected_wr,direction,orb_high,orb_low,orb_range_pips,entry_time,entry_price,sl_price,tp_price,risk_pips,result,pnl_pips,exit_time,exit_price,exit_reason,R
2025-11-12,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,LONG,1.31076,1.30977,9.9,2025-11-12 15:15:00,1.31119,1.30957,1.31605,16.2,WIN,15.8,2025-11-12 23:45:00,1.31277,EOD Close,0.9753086419753088
2025-11-19,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,SHORT,1.31102,1.31,10.2,2025-11-19 15:30:00,1.3075,1.31122,1.29634,37.2,WIN,14.9,2025-11-19 23:45:00,1.30601,EOD Close,0.40053763440860213
2025-11-26,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,LONG,1.32196,1.31956,24.0,2025-11-26 15:45:00,1.32256,1.31936,1.33216,32.0,WIN,19.1,2025-11-26 23:45:00,1.32447,EOD Close,0.596875
2025-12-03,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,LONG,1.33202,1.33044,15.8,2025-12-03 15:15:00,1.33225,1.33024,1.33828,20.1,WIN,25.2,2025-12-03 23:45:00,1.33477,EOD Close,1.253731343283582
2025-12-10,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,SHORT,1.33368,1.33292,7.6,2025-12-10 15:15:00,1.33215,1.33388,1.32696,17.3,LOSS,-17.3,2025-12-10 16:45:00,1.33388,SL Hit,-1.0
2025-12-17,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,LONG,1.33748,1.33557,19.1,2025-12-17 15:15:00,1.33781,1.33537,1.34513,24.4,LOSS,-4.3,2025-12-17 23:45:00,1.33738,EOD Close,-0.1762295081967213
2025-12-24,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,LONG,1.3503,1.34918,11.2,2025-12-24 15:15:00,1.35048,1.34898,1.35498,15.0,LOSS,-0.2,2025-12-24 21:45:00,1.35046,EOD Close,-0.013333333333333334
2025-12-31,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,LONG,1.34338,1.3407,26.8,2025-12-31 15:45:00,1.34504,1.3405,1.35866,45.4,WIN,23.5,2025-12-31 21:45:00,1.34739,EOD Close,0.5176211453744494
2026-01-07,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,SHORT,1.35015,1.34821,19.4,2026-01-07 15:45:00,1.34811,1.35035,1.34139,22.4,WIN,22.5,2026-01-07 23:45:00,1.34586,EOD Close,1.0044642857142858
2026-01-14,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,SHORT,1.34615,1.3451,10.5,2026-01-14 15:15:00,1.34507,1.34635,1.34123,12.8,WIN,10.6,2026-01-14 23:45:00,1.34401,EOD Close,0.8281249999999999
2026-01-21,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,SHORT,1.34593,1.34491,10.2,2026-01-21 15:15:00,1.34346,1.34613,1.33545,26.7,WIN,16.4,2026-01-21 23:45:00,1.34182,EOD Close,0.6142322097378277
2026-01-28,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,LONG,1.37995,1.37509,48.6,2026-01-28 21:00:00,1.38064,1.37489,1.39789,57.5,WIN,20.9,2026-01-28 23:45:00,1.38273,EOD Close,0.3634782608695652
