date,day_of_week,pair,orb_time_gmt,orb_time_ist,entry_mode,rr_ratio,expected_wr,direction,orb_high,orb_low,orb_range_pips,entry_time,entry_price,sl_price,tp_price,risk_pips,result,pnl_pips,exit_time,exit_price,exit_reason
2025-08-21,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,SHORT,1.16501,1.16442,5.9,2025-08-21 11:45:00,1.164,1.16521,1.16158,12.1,LOSS,-12.1,2025-08-21 12:30:00,1.16521,SL Hit
2025-08-22,Friday,USDCAD,16:00,09:30 PM,15min,2.5,63.0,SHORT,1.38455,1.38321,13.4,2025-08-22 16:45:00,1.38314,1.38475,1.37912,16.1,WIN,5.1,2025-08-22 20:45:00,1.38263,EOD Close
2025-08-25,Monday,USDCAD,15:45,09:15 PM,15min,3.0,61.5,LONG,1.38343,1.383,4.3,2025-08-25 16:15:00,1.38344,1.3828,1.38536,6.4,WIN,19.2,2025-08-25 18:45:00,1.38536,TP Hit
2025-08-27,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,LONG,1.34694,1.34597,9.7,2025-08-27 15:05:00,1.3471,1.34577,1.35109,13.3,WIN,32.2,2025-08-27 23:55:00,1.35032,EOD Close
2025-08-28,Thursday,USDCAD,11:15,04:45 PM,15min,2.0,72.7,LONG,1.37656,1.37621,3.5,2025-08-28 11:30:00,1.37657,1.37601,1.37769,5.6,LOSS,-5.6,2025-08-28 12:00:00,1.37601,SL Hit
2025-08-28,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,LONG,1.167,1.16618,8.2,2025-08-28 12:00:00,1.1674,1.16598,1.17024,14.2,LOSS,-14.2,2025-08-28 13:00:00,1.16598,SL Hit
2025-08-29,Friday,USDCAD,16:00,09:30 PM,15min,2.5,63.0,LONG,1.37329,1.3726,6.9,2025-08-29 16:30:00,1.37338,1.3724,1.37583,9.8,WIN,7.4,2025-08-29 20:45:00,1.37412,EOD Close
2025-09-01,Monday,USDCAD,15:45,09:15 PM,15min,3.0,61.5,SHORT,1.37611,1.37556,5.5,2025-09-01 16:15:00,1.37552,1.37631,1.37315,7.9,WIN,7.4,2025-09-01 23:45:00,1.37478,EOD Close
2025-09-03,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,LONG,1.34357,1.34294,6.3,2025-09-03 15:05:00,1.34427,1.34274,1.34886,15.3,LOSS,-2.4,2025-09-03 23:55:00,1.34403,EOD Close
2025-09-04,Thursday,USDCAD,11:15,04:45 PM,15min,2.0,72.7,SHORT,1.3825,1.38226,2.4,2025-09-04 11:30:00,1.38223,1.3827,1.38129,4.7,WIN,9.4,2025-09-04 12:15:00,1.3812900000000001,TP Hit
2025-09-04,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,LONG,1.16457,1.16418,3.9,2025-09-04 12:00:00,1.16472,1.16398,1.1662,7.4,LOSS,-7.4,2025-09-04 12:30:00,1.16398,SL Hit
