date,day_of_week,pair,orb_time_gmt,orb_time_ist,entry_mode,rr_ratio,expected_wr,direction,orb_high,orb_low,orb_range_pips,entry_time,entry_price,sl_price,tp_price,risk_pips,result,pnl_pips,exit_time,exit_price,exit_reason
2026-02-18,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,SHORT,1.35521,1.35354,16.7,2026-02-18 16:45:00,1.35339,1.35541,1.34733,20.2,WIN,38.7,2026-02-18 23:45:00,1.34952,EOD Close
2026-02-19,Thursday,USDCAD,11:15,04:45 PM,15min,2.0,72.7,LONG,1.36878,1.36824,5.4,2026-02-19 11:30:00,1.36888,1.36804,1.37056,8.4,WIN,16.8,2026-02-19 13:00:00,1.3705600000000004,TP Hit
2026-02-19,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,SHORT,1.17822,1.17766,5.6,2026-02-19 12:10:00,1.17763,1.17842,1.17605,7.9,WIN,15.8,2026-02-19 13:05:00,1.1760499999999998,TP Hit
2026-02-19,Thursday,GBPUSD,03:45,09:15 AM,15min,2.0,63.6,SHORT,1.3492,1.3488,4.0,2026-02-19 04:15:00,1.34852,1.3494,1.34676,8.8,LOSS,-8.8,2026-02-19 06:15:00,1.3494,SL Hit
2026-02-20,Friday,USDCAD,16:00,09:30 PM,15min,2.5,63.0,LONG,1.36852,1.36741,11.1,2026-02-20 16:15:00,1.36934,1.36721,1.37466,21.3,LOSS,-21.3,2026-02-20 18:45:00,1.36721,SL Hit
2026-02-23,Monday,USDCAD,15:45,09:15 PM,15min,3.0,61.5,LONG,1.36896,1.36784,11.2,2026-02-23 16:00:00,1.36904,1.36764,1.37324,14.0,WIN,4.2,2026-02-23 23:45:00,1.36946,EOD Close
2026-02-25,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,LONG,1.35336,1.35176,16.0,2026-02-25 15:45:00,1.35338,1.35156,1.35884,18.2,WIN,23.7,2026-02-25 23:45:00,1.35575,EOD Close
2026-02-26,Thursday,USDCAD,11:15,04:45 PM,15min,2.0,72.7,LONG,1.36815,1.36765,5.0,2026-02-26 11:30:00,1.36818,1.36745,1.36964,7.3,LOSS,-7.3,2026-02-26 13:00:00,1.36745,SL Hit
2026-02-26,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,LONG,1.18031,1.18003,2.8,2026-02-26 12:10:00,1.18046,1.17983,1.18172,6.3,LOSS,-6.3,2026-02-26 15:20:00,1.17983,SL Hit
2026-02-26,Thursday,GBPUSD,03:45,09:15 AM,15min,2.0,63.6,SHORT,1.35588,1.35556,3.2,2026-02-26 04:00:00,1.35524,1.35608,1.35356,8.4,LOSS,-8.4,2026-02-26 05:45:00,1.35608,SL Hit
2026-02-27,Friday,USDCAD,16:00,09:30 PM,15min,2.5,63.0,SHORT,1.3641,1.36287,12.3,2026-02-27 17:30:00,1.36279,1.3643,1.35901,15.1,LOSS,-15.1,2026-02-27 21:00:00,1.3643,SL Hit
2026-03-02,Monday,USDCAD,15:45,09:15 PM,15min,3.0,61.5,LONG,1.3704,1.36949,9.1,2026-03-02 16:15:00,1.37122,1.36929,1.37701,19.3,LOSS,-19.3,2026-03-02 19:00:00,1.3692900000000001,SL Hit
2026-03-04,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,LONG,1.33689,1.33539,15.0,2026-03-04 15:15:00,1.33757,1.33519,1.34471,23.8,LOSS,-23.8,2026-03-04 17:15:00,1.33519,SL Hit
2026-03-05,Thursday,USDCAD,11:15,04:45 PM,15min,2.0,72.7,SHORT,1.36381,1.36315,6.6,2026-03-05 12:45:00,1.36217,1.36401,1.35849,18.4,LOSS,-18.4,2026-03-05 13:30:00,1.36401,SL Hit
2026-03-05,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,LONG,1.16109,1.16038,7.1,2026-03-05 11:55:00,1.16115,1.16018,1.16309,9.7,LOSS,-9.7,2026-03-05 13:40:00,1.16018,SL Hit
2026-03-05,Thursday,GBPUSD,03:45,09:15 AM,15min,2.0,63.6,SHORT,1.33449,1.3338,6.9,2026-03-05 04:15:00,1.33313,1.33469,1.33001,15.6,LOSS,-15.6,2026-03-05 07:30:00,1.33469,SL Hit
2026-03-06,Friday,USDCAD,16:00,09:30 PM,15min,2.5,63.0,SHORT,1.36279,1.3611,16.9,2026-03-06 16:30:00,1.36038,1.36299,1.35385,26.1,WIN,38.7,2026-03-06 21:45:00,1.35651,EOD Close
2026-03-09,Monday,USDCAD,15:45,09:15 PM,15min,3.0,61.5,SHORT,1.35805,1.35697,10.8,2026-03-09 16:15:00,1.35679,1.35825,1.35241,14.6,LOSS,-14.6,2026-03-09 17:15:00,1.35825,SL Hit
2026-03-11,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,SHORT,1.34273,1.34142,13.1,2026-03-11 15:15:00,1.34115,1.34293,1.33581,17.8,WIN,28.9,2026-03-11 23:45:00,1.33826,EOD Close
2026-03-12,Thursday,USDCAD,11:15,04:45 PM,15min,2.0,72.7,LONG,1.35912,1.3588,3.2,2026-03-12 11:45:00,1.35922,1.3586,1.36046,6.2,WIN,12.4,2026-03-12 13:00:00,1.3604600000000002,TP Hit
2026-03-12,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,SHORT,1.15662,1.15584,7.8,2026-03-12 11:50:00,1.15532,1.15682,1.15232,15.0,WIN,30.0,2026-03-12 13:20:00,1.1523199999999998,TP Hit
2026-03-12,Thursday,GBPUSD,03:45,09:15 AM,15min,2.0,63.6,SHORT,1.33733,1.33694,3.9,2026-03-12 04:30:00,1.33642,1.33753,1.3342,11.1,LOSS,-11.1,2026-03-12 05:30:00,1.3375299999999999,SL Hit
2026-03-13,Friday,USDCAD,16:00,09:30 PM,15min,2.5,63.0,LONG,1.37388,1.3732,6.8,2026-03-13 16:15:00,1.37403,1.373,1.37661,10.3,LOSS,-10.3,2026-03-13 16:45:00,1.373,SL Hit
2026-03-16,Monday,USDCAD,15:45,09:15 PM,15min,3.0,61.5,SHORT,1.36876,1.36718,15.8,2026-03-16 18:30:00,1.367,1.36896,1.36112,19.6,LOSS,-17.1,2026-03-16 23:45:00,1.36871,EOD Close
2026-03-18,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,SHORT,1.33376,1.33244,13.2,2026-03-18 15:15:00,1.33229,1.33396,1.32728,16.7,LOSS,-16.7,2026-03-18 17:30:00,1.33396,SL Hit
2026-03-19,Thursday,USDCAD,11:15,04:45 PM,15min,2.0,72.7,SHORT,1.37439,1.37346,9.3,2026-03-19 12:00:00,1.37343,1.37459,1.37111,11.6,LOSS,-11.6,2026-03-19 12:15:00,1.37459,SL Hit
2026-03-19,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,LONG,1.14733,1.14674,5.9,2026-03-19 11:50:00,1.14751,1.14654,1.14945,9.7,LOSS,-9.7,2026-03-19 12:25:00,1.1465400000000001,SL Hit
2026-03-19,Thursday,GBPUSD,03:45,09:15 AM,15min,2.0,63.6,SHORT,1.3288,1.32816,6.4,2026-03-19 04:00:00,1.32775,1.329,1.32525,12.5,WIN,25.0,2026-03-19 07:00:00,1.32525,TP Hit
2026-03-20,Friday,USDCAD,16:00,09:30 PM,15min,2.5,63.0,SHORT,1.37344,1.37243,10.1,2026-03-20 16:15:00,1.37183,1.37364,1.36731,18.1,LOSS,-5.7,2026-03-20 20:45:00,1.3724,EOD Close
2026-03-23,Monday,USDCAD,15:45,09:15 PM,15min,3.0,61.5,LONG,1.37238,1.37109,12.9,2026-03-23 16:15:00,1.37287,1.37089,1.37881,19.8,WIN,1.9,2026-03-23 23:45:00,1.37306,EOD Close
2026-03-25,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,SHORT,1.33917,1.33768,14.9,2026-03-25 15:30:00,1.33679,1.33937,1.32905,25.8,WIN,4.5,2026-03-25 23:45:00,1.33634,EOD Close
2026-03-26,Thursday,USDCAD,11:15,04:45 PM,15min,2.0,72.7,LONG,1.38449,1.38366,8.3,2026-03-26 11:30:00,1.38453,1.38346,1.38667,10.7,LOSS,-10.7,2026-03-26 12:45:00,1.38346,SL Hit
2026-03-26,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,SHORT,1.15448,1.15322,12.6,2026-03-26 11:45:00,1.15285,1.15468,1.14919,18.3,LOSS,-18.3,2026-03-26 13:40:00,1.15468,SL Hit
2026-03-26,Thursday,GBPUSD,03:45,09:15 AM,15min,2.0,63.6,LONG,1.33656,1.33624,3.2,2026-03-26 04:15:00,1.33669,1.33604,1.33799,6.5,LOSS,-6.5,2026-03-26 05:15:00,1.3360400000000001,SL Hit
2026-03-27,Friday,USDCAD,16:00,09:30 PM,15min,2.5,63.0,SHORT,1.38841,1.38746,9.5,2026-03-27 16:15:00,1.38724,1.38861,1.38382,13.7,LOSS,-13.7,2026-03-27 17:15:00,1.38861,SL Hit
2026-03-30,Monday,USDCAD,15:45,09:15 PM,15min,3.0,61.5,SHORT,1.39298,1.39217,8.1,2026-03-30 16:00:00,1.39201,1.39318,1.3885,11.7,LOSS,-8.9,2026-03-30 23:45:00,1.3929,EOD Close
2026-04-01,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,SHORT,1.33379,1.33252,12.7,2026-04-01 15:15:00,1.33197,1.33399,1.32591,20.2,LOSS,-20.2,2026-04-01 17:00:00,1.33399,SL Hit
2026-04-02,Thursday,USDCAD,11:15,04:45 PM,15min,2.0,72.7,SHORT,1.39315,1.39257,5.8,2026-04-02 11:30:00,1.39223,1.39335,1.38999,11.2,WIN,6.1,2026-04-02 23:45:00,1.39162,EOD Close
2026-04-02,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,LONG,1.15194,1.15104,9.0,2026-04-02 12:00:00,1.15252,1.15084,1.15588,16.8,WIN,33.6,2026-04-02 14:35:00,1.1558799999999998,TP Hit
2026-04-02,Thursday,GBPUSD,03:45,09:15 AM,15min,2.0,63.6,SHORT,1.32457,1.32311,14.6,2026-04-02 05:00:00,1.32295,1.32477,1.31931,18.2,WIN,36.4,2026-04-02 10:15:00,1.3193100000000002,TP Hit
2026-04-03,Friday,USDCAD,16:00,09:30 PM,15min,2.5,63.0,LONG,1.39457,1.39417,4.0,2026-04-03 19:00:00,1.39458,1.39397,1.3961,6.1,LOSS,-6.1,2026-04-03 20:15:00,1.39397,SL Hit
2026-04-06,Monday,USDCAD,15:45,09:15 PM,15min,3.0,61.5,SHORT,1.39234,1.39153,8.1,2026-04-06 16:00:00,1.39134,1.39254,1.38774,12.0,WIN,0.8,2026-04-06 23:45:00,1.39126,EOD Close
2026-04-08,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,SHORT,1.34491,1.34283,20.8,2026-04-08 16:00:00,1.34271,1.34511,1.33551,24.0,WIN,34.3,2026-04-08 23:45:00,1.33928,EOD Close
2026-04-09,Thursday,USDCAD,11:15,04:45 PM,15min,2.0,72.7,SHORT,1.38525,1.38463,6.2,2026-04-09 11:30:00,1.38352,1.38545,1.37966,19.3,WIN,12.3,2026-04-09 23:45:00,1.38229,EOD Close
2026-04-09,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,LONG,1.16887,1.16801,8.6,2026-04-09 11:45:00,1.16891,1.16781,1.17111,11.0,LOSS,-11.0,2026-04-09 14:35:00,1.16781,SL Hit
2026-04-09,Thursday,GBPUSD,03:45,09:15 AM,15min,2.0,63.6,LONG,1.33975,1.339,7.5,2026-04-09 04:00:00,1.34061,1.3388,1.34423,18.1,LOSS,-18.1,2026-04-09 06:15:00,1.3388,SL Hit
2026-04-10,Friday,USDCAD,16:00,09:30 PM,15min,2.5,63.0,LONG,1.38368,1.38284,8.4,2026-04-10 16:30:00,1.38373,1.38264,1.38645,10.9,LOSS,-10.9,2026-04-10 18:15:00,1.38264,SL Hit
2026-04-13,Monday,USDCAD,15:45,09:15 PM,15min,3.0,61.5,SHORT,1.38154,1.38094,6.0,2026-04-13 16:15:00,1.38086,1.38174,1.37822,8.8,WIN,22.1,2026-04-13 23:45:00,1.37865,EOD Close
2026-04-15,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,LONG,1.35754,1.35654,10.0,2026-04-15 15:15:00,1.35761,1.35634,1.36142,12.7,LOSS,-12.7,2026-04-15 20:15:00,1.35634,SL Hit
