<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.08.01	17:15:00	1.15240	1.15333	1.15184	1.15261	1067	0	9
2025.08.01	17:30:00	1.15262	1.15288	1.15161	1.15210	875	0	9
2025.08.01	17:45:00	1.15211	1.15277	1.15193	1.15262	767	0	9
2025.08.01	18:00:00	1.15264	1.15311	1.15213	1.15289	851	0	9
2025.08.01	18:15:00	1.15288	1.15396	1.15281	1.15392	939	0	9
2025.08.01	18:30:00	1.15392	1.15477	1.15370	1.15447	723	0	9
2025.08.01	18:45:00	1.15448	1.15469	1.15252	1.15254	805	0	9
2025.08.01	19:00:00	1.15257	1.15432	1.15234	1.15430	758	0	9
2025.08.01	19:15:00	1.15430	1.15452	1.15401	1.15438	540	0	9
2025.08.01	19:30:00	1.15439	1.15803	1.15436	1.15794	3741	0	9
2025.08.01	19:45:00	1.15792	1.15818	1.15677	1.15689	1625	0	9
2025.08.01	20:00:00	1.15687	1.15811	1.15683	1.15791	789	0	9
2025.08.01	20:15:00	1.15790	1.15897	1.15790	1.15889	532	0	9
2025.08.01	20:30:00	1.15887	1.15967	1.15834	1.15857	860	0	9
2025.08.01	20:45:00	1.15857	1.15966	1.15829	1.15872	1076	0	9
2025.08.03	21:00:00	1.15880	1.15903	1.15876	1.15902	121	0	63
2025.08.03	21:15:00	1.15904	1.15926	1.15903	1.15909	113	0	53
2025.08.03	21:30:00	1.15900	1.15904	1.15870	1.15883	192	0	53
2025.08.03	21:45:00	1.15882	1.15893	1.15872	1.15893	202	0	23
2025.08.03	22:00:00	1.15891	1.15952	1.15845	1.15851	770	0	9
2025.08.03	22:15:00	1.15850	1.15891	1.15799	1.15836	537	0	9
2025.08.03	22:30:00	1.15834	1.15852	1.15783	1.15806	483	0	9
2025.08.03	22:45:00	1.15806	1.15842	1.15778	1.15833	537	0	9
2025.08.03	23:00:00	1.15835	1.15868	1.15798	1.15838	582	0	9
2025.08.03	23:15:00	1.15837	1.15851	1.15776	1.15795	472	0	9
2025.08.03	23:30:00	1.15795	1.15838	1.15782	1.15832	381	0	9
2025.08.03	23:45:00	1.15832	1.15898	1.15831	1.15871	545	0	9
2025.08.04	00:00:00	1.15871	1.15884	1.15720	1.15728	904	0	9
2025.08.04	00:15:00	1.15729	1.15743	1.15620	1.15642	740	0	9
2025.08.04	00:30:00	1.15643	1.15677	1.15572	1.15611	751	0	9
2025.08.04	00:45:00	1.15610	1.15621	1.15556	1.15575	848	0	9
2025.08.04	01:00:00	1.15575	1.15614	1.15511	1.15522	741	0	9
2025.08.04	01:15:00	1.15520	1.15571	1.15496	1.15530	758	0	9
2025.08.04	01:30:00	1.15530	1.15633	1.15515	1.15622	871	0	9
2025.08.04	01:45:00	1.15621	1.15718	1.15618	1.15710	839	0	9
2025.08.04	02:00:00	1.15710	1.15747	1.15670	1.15724	757	0	9
2025.08.04	02:15:00	1.15725	1.15775	1.15725	1.15747	530	0	9
2025.08.04	02:30:00	1.15747	1.15778	1.15717	1.15757	522	0	9
2025.08.04	02:45:00	1.15757	1.15767	1.15720	1.15754	457	0	9
2025.08.04	03:00:00	1.15753	1.15857	1.15753	1.15829	492	0	9
2025.08.04	03:15:00	1.15828	1.15843	1.15778	1.15796	456	0	9
2025.08.04	03:30:00	1.15799	1.15814	1.15760	1.15768	445	0	9
2025.08.04	03:45:00	1.15768	1.15820	1.15762	1.15786	437	0	9
2025.08.04	04:00:00	1.15786	1.15839	1.15775	1.15813	382	0	9
2025.08.04	04:15:00	1.15813	1.15843	1.15810	1.15833	304	0	9
2025.08.04	04:30:00	1.15833	1.15850	1.15770	1.15779	412	0	9
2025.08.04	04:45:00	1.15779	1.15804	1.15739	1.15739	390	0	9
2025.08.04	05:00:00	1.15739	1.15819	1.15708	1.15780	619	0	9
2025.08.04	05:15:00	1.15780	1.15789	1.15729	1.15759	436	0	9
2025.08.04	05:30:00	1.15757	1.15764	1.15698	1.15708	476	0	9
2025.08.04	05:45:00	1.15708	1.15710	1.15666	1.15698	501	0	9
2025.08.04	06:00:00	1.15698	1.15786	1.15662	1.15782	1037	0	9
2025.08.04	06:15:00	1.15785	1.15831	1.15630	1.15662	920	0	9
2025.08.04	06:30:00	1.15665	1.15763	1.15655	1.15739	1165	0	9
2025.08.04	06:45:00	1.15738	1.15774	1.15700	1.15711	895	0	9
2025.08.04	07:00:00	1.15713	1.15781	1.15619	1.15658	1363	0	9
2025.08.04	07:15:00	1.15655	1.15675	1.15556	1.15581	1084	0	9
2025.08.04	07:30:00	1.15582	1.15598	1.15504	1.15569	839	0	9
2025.08.04	07:45:00	1.15568	1.15662	1.15534	1.15631	932	0	9
2025.08.04	08:00:00	1.15633	1.15647	1.15557	1.15617	1052	0	9
2025.08.04	08:15:00	1.15615	1.15629	1.15556	1.15612	878	0	9
