date,day_of_week,pair,orb_time_gmt,orb_time_ist,entry_mode,rr_ratio,expected_wr,direction,orb_high,orb_low,orb_range_pips,entry_time,entry_price,sl_price,tp_price,risk_pips,result,pnl_pips,exit_time,exit_price,exit_reason
2025-10-16,Thursday,GBPUSD,03:45,09:15 AM,15min,2.0,63.6,SHORT,1.34246,1.34214,3.2,2025-10-16 04:15:00,1.34164,1.34266,1.3396,10.2,LOSS,-10.2,2025-10-16 07:45:00,1.34266,SL Hit
2025-10-22,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,LONG,1.33688,1.33536,15.2,2025-10-22 15:30:00,1.33698,1.33516,1.34244,18.2,LOSS,-18.2,2025-10-22 23:45:00,1.3351600000000001,SL Hit
2025-10-23,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,LONG,1.15925,1.15855,7.0,2025-10-23 12:05:00,1.15931,1.15835,1.16123,9.6,WIN,19.2,2025-10-23 14:05:00,1.1612300000000002,TP Hit
2025-10-23,Thursday,GBPUSD,03:45,09:15 AM,15min,2.0,63.6,SHORT,1.3336,1.33322,3.8,2025-10-23 04:00:00,1.33321,1.3338,1.33203,5.9,LOSS,-5.9,2025-10-23 04:45:00,1.3337999999999999,SL Hit
2025-10-29,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,LONG,1.32335,1.32258,7.7,2025-10-29 15:30:00,1.32384,1.32238,1.32822,14.6,LOSS,-14.6,2025-10-29 17:15:00,1.32238,SL Hit
2025-10-30,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,SHORT,1.16106,1.16015,9.1,2025-10-30 11:45:00,1.16006,1.16126,1.15766,12.0,WIN,24.0,2025-10-30 12:25:00,1.1576600000000004,TP Hit
2025-10-30,Thursday,GBPUSD,03:45,09:15 AM,15min,2.0,63.6,LONG,1.32023,1.31968,5.5,2025-10-30 04:00:00,1.32054,1.31948,1.32266,10.6,LOSS,-10.6,2025-10-30 07:00:00,1.31948,SL Hit
2025-11-05,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,LONG,1.30323,1.30129,19.4,2025-11-05 15:15:00,1.30445,1.30109,1.31453,33.6,WIN,7.0,2025-11-05 23:45:00,1.30515,EOD Close
2025-11-06,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,LONG,1.15206,1.1513,7.6,2025-11-06 12:10:00,1.1522,1.1511,1.1544,11.0,WIN,22.0,2025-11-06 18:05:00,1.1543999999999996,TP Hit
2025-11-06,Thursday,GBPUSD,03:45,09:15 AM,15min,2.0,63.6,SHORT,1.30645,1.30624,2.1,2025-11-06 04:15:00,1.30616,1.30665,1.30518,4.9,LOSS,-4.9,2025-11-06 06:00:00,1.3066499999999999,SL Hit
2025-11-12,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,LONG,1.31072,1.30972,10.0,2025-11-12 15:15:00,1.31114,1.30952,1.316,16.2,WIN,15.8,2025-11-12 23:45:00,1.31272,EOD Close
2025-11-13,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,SHORT,1.162,1.16128,7.2,2025-11-13 11:45:00,1.16067,1.1622,1.15761,15.3,LOSS,-15.3,2025-11-13 12:50:00,1.1622,SL Hit
2025-11-13,Thursday,GBPUSD,03:45,09:15 AM,15min,2.0,63.6,SHORT,1.31269,1.3121,5.9,2025-11-13 05:30:00,1.31186,1.31289,1.3098,10.3,LOSS,-10.3,2025-11-13 07:30:00,1.31289,SL Hit
2025-11-19,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,SHORT,1.31097,1.30996,10.1,2025-11-19 15:30:00,1.30746,1.31117,1.29633,37.1,WIN,15.0,2025-11-19 23:45:00,1.30596,EOD Close
2025-11-20,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,SHORT,1.15205,1.15146,5.9,2025-11-20 11:50:00,1.15144,1.15225,1.14982,8.1,LOSS,-8.1,2025-11-20 13:30:00,1.15225,SL Hit
2025-11-20,Thursday,GBPUSD,03:45,09:15 AM,15min,2.0,63.6,LONG,1.30466,1.30404,6.2,2025-11-20 04:00:00,1.30509,1.30384,1.30759,12.5,WIN,25.0,2025-11-20 08:00:00,1.30759,TP Hit
2025-11-26,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,LONG,1.32192,1.31951,24.1,2025-11-26 15:45:00,1.32252,1.31931,1.33215,32.1,WIN,19.0,2025-11-26 23:45:00,1.32442,EOD Close
2025-11-27,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,LONG,1.15847,1.15812,3.5,2025-11-27 11:55:00,1.15859,1.15792,1.15993,6.7,WIN,13.4,2025-11-27 16:25:00,1.15993,TP Hit
2025-11-27,Thursday,GBPUSD,03:45,09:15 AM,15min,2.0,63.6,LONG,1.3257,1.3252,5.0,2025-11-27 04:15:00,1.32633,1.325,1.32899,13.3,LOSS,-13.3,2025-11-27 06:30:00,1.325,SL Hit
2025-12-03,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,LONG,1.33198,1.33039,15.9,2025-12-03 15:15:00,1.3322,1.33019,1.33823,20.1,WIN,25.2,2025-12-03 23:45:00,1.33472,EOD Close
2025-12-04,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,LONG,1.16791,1.16747,4.4,2025-12-04 11:55:00,1.16799,1.16727,1.16943,7.2,LOSS,-7.2,2025-12-04 12:30:00,1.16727,SL Hit
2025-12-04,Thursday,GBPUSD,03:45,09:15 AM,15min,2.0,63.6,LONG,1.33324,1.33287,3.7,2025-12-04 04:30:00,1.33325,1.33267,1.33441,5.8,WIN,11.6,2025-12-04 08:15:00,1.33441,TP Hit
2025-12-10,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,SHORT,1.33363,1.33287,7.6,2025-12-10 15:15:00,1.3321,1.33383,1.32691,17.3,LOSS,-17.3,2025-12-10 16:45:00,1.33383,SL Hit
2025-12-11,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,SHORT,1.17175,1.17109,6.6,2025-12-11 12:00:00,1.17105,1.17195,1.16925,9.0,LOSS,-9.0,2025-12-11 13:25:00,1.17195,SL Hit
2025-12-11,Thursday,GBPUSD,03:45,09:15 AM,15min,2.0,63.6,SHORT,1.33721,1.33662,5.9,2025-12-11 04:15:00,1.33636,1.33741,1.33426,10.5,LOSS,-10.5,2025-12-11 07:15:00,1.33741,SL Hit
2025-12-17,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,LONG,1.33743,1.33553,19.0,2025-12-17 15:15:00,1.33776,1.33533,1.34505,24.3,LOSS,-4.3,2025-12-17 23:45:00,1.33733,EOD Close
2025-12-18,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,SHORT,1.17271,1.1721,6.1,2025-12-18 11:55:00,1.17201,1.17291,1.17021,9.0,LOSS,-9.0,2025-12-18 13:15:00,1.17291,SL Hit
2025-12-18,Thursday,GBPUSD,03:45,09:15 AM,15min,2.0,63.6,LONG,1.33647,1.33611,3.6,2025-12-18 04:00:00,1.33655,1.33591,1.33783,6.4,LOSS,-6.4,2025-12-18 08:45:00,1.33591,SL Hit
2025-12-24,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,LONG,1.35026,1.34913,11.3,2025-12-24 15:15:00,1.35043,1.34893,1.35493,15.0,LOSS,-2.2,2025-12-24 21:45:00,1.35021,EOD Close
2025-12-31,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,LONG,1.34333,1.34065,26.8,2025-12-31 15:45:00,1.34499,1.34045,1.35861,45.4,WIN,23.5,2025-12-31 21:45:00,1.34734,EOD Close
2026-01-07,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,SHORT,1.3501,1.34816,19.4,2026-01-07 15:45:00,1.34807,1.3503,1.34138,22.3,WIN,22.6,2026-01-07 23:45:00,1.34581,EOD Close
2026-01-08,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,SHORT,1.16779,1.16749,3.0,2026-01-08 12:10:00,1.16721,1.16799,1.16565,7.8,WIN,15.6,2026-01-08 14:15:00,1.16565,TP Hit
2026-01-08,Thursday,GBPUSD,03:45,09:15 AM,15min,2.0,63.6,SHORT,1.3464,1.34608,3.2,2026-01-08 04:15:00,1.34602,1.3466,1.34486,5.8,WIN,11.6,2026-01-08 07:30:00,1.34486,TP Hit
2026-01-14,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,SHORT,1.34611,1.34505,10.6,2026-01-14 15:15:00,1.34502,1.34631,1.34115,12.9,WIN,10.6,2026-01-14 23:45:00,1.34396,EOD Close
2026-01-15,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,SHORT,1.16361,1.1632,4.1,2026-01-15 11:45:00,1.16309,1.16381,1.16165,7.2,WIN,14.4,2026-01-15 13:30:00,1.1616499999999998,TP Hit
2026-01-15,Thursday,GBPUSD,03:45,09:15 AM,15min,2.0,63.6,SHORT,1.34296,1.34252,4.4,2026-01-15 04:15:00,1.34249,1.34316,1.34115,6.7,LOSS,-6.7,2026-01-15 06:15:00,1.34316,SL Hit
2026-01-21,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,SHORT,1.34588,1.34487,10.1,2026-01-21 15:15:00,1.34341,1.34608,1.3354,26.7,WIN,16.4,2026-01-21 23:45:00,1.34177,EOD Close
2026-01-22,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,LONG,1.17023,1.16962,6.1,2026-01-22 11:45:00,1.17034,1.16942,1.17218,9.2,WIN,18.4,2026-01-22 14:35:00,1.1721799999999996,TP Hit
2026-01-22,Thursday,GBPUSD,03:45,09:15 AM,15min,2.0,63.6,LONG,1.34333,1.34277,5.6,2026-01-22 04:00:00,1.3438,1.34257,1.34626,12.3,LOSS,-12.3,2026-01-22 05:15:00,1.34257,SL Hit
2026-01-28,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,LONG,1.3799,1.37504,48.6,2026-01-28 21:00:00,1.3806,1.37484,1.39788,57.6,WIN,20.5,2026-01-28 23:45:00,1.38265,EOD Close
2026-01-29,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,LONG,1.19503,1.19451,5.2,2026-01-29 11:45:00,1.19506,1.19431,1.19656,7.5,LOSS,-7.5,2026-01-29 12:00:00,1.19431,SL Hit
2026-01-29,Thursday,GBPUSD,03:45,09:15 AM,15min,2.0,63.6,LONG,1.38329,1.38238,9.1,2026-01-29 04:45:00,1.3839,1.38218,1.38734,17.2,LOSS,-17.2,2026-01-29 08:30:00,1.38218,SL Hit
